지역코드,지역명,데이터 수집 시간,실시간 인구 수준,실시간 인구 메시지,인구 최소값,인구 최대값,남성 비율,여성 비율,0-9세 비율,10대 비율,20대 비율,30대 비율,40대 비율,50대 비율,60대 비율,70대 이상 비율,거주인구 비율,비거주인구 비율
POI098,서리풀공원·몽마르뜨공원,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,4000,4500,49.6,50.4,0.5,5.3,16.1,22.4,22.8,16.2,9.2,7.5,39.4,60.6
POI099,서울광장,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,1500,2000,49.3,50.7,0.2,4.4,23.3,20.9,20.2,16.1,8.9,6.1,28.1,71.9
POI100,서울대공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,46.6,53.4,4.5,13.0,22.1,20.3,14.0,10.5,9.4,6.1,18.9,81.1
POI101,서울숲공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7000,7500,52.6,47.4,0.2,5.4,17.5,22.0,19.6,17.3,11.7,6.2,10.9,89.1
POI102,아차산,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5500,6000,48.2,51.8,0.6,11.8,12.4,13.9,17.8,15.9,15.5,12.1,23.5,76.5
POI103,양화한강공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,600,700,52.3,47.7,0.3,5.3,21.8,23.5,16.7,17.2,9.7,5.6,11.6,88.4
POI104,어린이대공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5500,6000,46.4,53.6,2.8,9.5,24.7,15.9,14.7,12.9,9.9,9.7,35.7,64.3
POI105,여의도한강공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,4500,52.4,47.6,0.5,4.0,18.8,27.1,23.5,15.6,6.7,3.7,44.2,55.8
POI106,월드컵공원,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,7500,8000,50.6,49.4,1.0,4.7,11.8,17.3,20.6,19.1,13.6,12.0,32.4,67.6
POI107,응봉산,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,47.8,52.2,1.5,10.7,12.7,17.4,17.4,16.1,13.3,10.9,21.9,78.1
POI108,이촌한강공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,53.3,46.7,0.8,5.2,14.7,21.8,19.8,17.3,12.5,7.9,10.2,89.8
POI109,잠실종합운동장,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,48.3,51.7,4.4,12.2,11.1,15.0,19.7,17.2,11.2,9.1,35.0,65.0
POI110,잠실한강공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,52.3,47.7,0.4,16.3,11.0,14.1,20.2,17.0,13.3,7.6,12.7,87.3
POI111,잠원한강공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,53.6,46.4,0.3,6.7,17.0,21.4,19.6,17.9,11.4,5.8,6.5,93.5
POI112,청계산,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,54.5,45.5,1.7,3.9,11.6,15.2,15.2,17.7,19.1,15.5,46.3,53.7
POI113,청와대,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,200,62.3,37.7,0.9,7.4,15.2,18.6,19.2,16.8,15.0,6.8,42.8,57.2
POI114,북창동 먹자골목,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,7500,8000,46.6,53.4,0.1,1.6,17.5,25.2,21.6,15.5,10.8,7.7,20.9,79.1
POI115,남대문시장,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,40.3,59.7,0.1,2.2,14.5,22.6,20.6,16.6,13.7,9.6,20.0,80.0
POI116,익선동,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,12000,14000,54.5,45.5,0.2,3.6,20.9,15.9,16.4,16.3,13.6,13.1,32.8,67.2
